ID,FirstName,LastName,DateOfBirth,CourseIDs,GPA
1,Alice,Johnson,15/3/1998,"[101,102,103]",3.8
2,Bob,Smith,22/6/1997,"[102,104,105]",3.5
3,Charlie,Williams,10/1/1999,"[101,103,105]",3.2
4,Diana,Miller,5/9/1997,"[101,102,104]",3.9
5,Eric,Davis,18/12/1998,"[103,105]",3.1
6,Fiona,Moore,30/4/1997,"[102,104]",3.7
7,George,Anderson,14/7/1999,"[101,105]",3.4
8,Hannah,Lee,26/11/1998,"[101,103,105]",3.6
9,Ian,White,8/2/1997,"[102,104]",3.3
10,Jack,Clark,11/8/1998,"[101,102]",3.8
11,Kate,Thomas,3/5/1999,"[104,105]",3.5
12,Liam,Hall,27/12/1997,"[101,103]",3.2
13,Mia,Evans,20/10/1998,"[102,104]",3.9
14,Noah,Johnson,8/7/1997,"[101,102,103]",3.1
15,Olivia,Smith,11/4/1999,[105],3.7
16,Peter,Williams,14/1/1998,"[101,104,105]",3.4
17,Quinn,Brown,17/6/1997,"[102,103]",3.6
18,Rachel,Young,19/9/1998,"[104,105]",3.3
19,Samuel,Evans,7/3/1997,"[101,103,104]",3.8
20,Taylor,Johnson,23/8/1999,"[102,105]",3.2
21,Uriel,Moore,5/11/1997,"[101,102,104]",3.9
22,Victoria,Anderson,29/4/1998,"[103,105]",3.1
23,William,Thomas,2/1/1997,"[101,102]",3.7
24,Xavier,Hill,14/9/1999,"[104,105]",3.5
25,Yasmine,Cooper,16/2/1998,"[101,103]",3.2
26,Zachary,Lewis,28/5/1997,"[102,104]",3.9
27,Ava,Parker,8/8/1998,"[101,102,103]",3.1
28,Benjamin,Ward,1/7/1999,"[104,105]",3.7
29,Chloe,Reed,12/10/1997,"[101,103,105]",3.4
30,Daniel,Murphy,24/3/1998,"[102,104]",3.6
31,Emma,Turner,17/12/1997,"[101,102]",3.8
32,Felix,Hughes,6/4/1999,[105],3.2
33,Grace,Russell,29/9/1997,"[101,104,105]",3.9
34,Henry,Hall,10/6/1998,"[102,103]",3.1
35,Isabella,Perez,21/1/1997,"[104,105]",3.7
36,James,Brooks,4/8/1999,"[101,103]",3.5
37,Katherine,Ward,16/3/1997,"[102,104]",3.2
38,Liam,Roberts,18/5/1998,"[101,105]",3.9
39,Mia,Fisher,9/10/1997,"[102,103]",3.1
40,Nathan,Young,22/2/1999,"[101,104,105]",3.7
41,Olivia,Bell,5/7/1997,"[102,103]",3.4
42,Peter,Williams,30/11/1998,"[104,105]",3.6
43,Quinn,Cooper,14/5/1997,"[101,102]",3.8
44,Rachel,Long,2/9/1999,[105],3.2
45,Samuel,Foster,15/1/1997,"[101,103,104]",3.9
46,Taylor,Adams,28/4/1998,"[102,105]",3.1
47,Uriel,Martin,11/11/1997,"[101,104]",3.7
48,Victoria,Butler,3/2/1999,"[103,105]",3.5
49,William,Fisher,26/6/1997,"[101,102,103]",3.2
50,Xavier,Perez,9/9/1998,"[104,105]",3.9
51,Yasmine,Baker,12/2/1997,"[101,103]",3.1
52,Zachary,Murphy,25/7/1999,"[102,104]",3.7
53,Ava,Gonzalez,18/10/1997,"[101,103,105]",3.4
54,Benjamin,Evans,2/4/1998,"[102,104]",3.6
55,Chloe,Adams,13/12/1997,"[101,102]",3.8
56,Daniel,Martin,26/5/1999,[105],3.2
57,Emma,Hall,8/9/1997,"[101,104,105]",3.9
58,Felix,Cook,21/1/1998,"[102,103]",3.1
59,Grace,Fisher,24/4/1997,"[104,105]",3.7
60,Henry,Howard,7/9/1999,"[101,103]",3.5
61,Isabella,Parker,28/2/1997,"[102,104]",3.2
62,James,Hill,11/6/1998,"[101,105]",3.9
63,Katherine,Stewart,26/11/1997,"[102,103]",3.1
64,Liam,Fisher,31/5/1998,"[101,104,105]",3.7
65,Mia,Lopez,5/10/1997,"[102,103]",3.4
66,Nathan,Reed,18/3/1999,"[101,104]",3.6
67,Olivia,Young,22/7/1997,[105],3.8
68,Peter,Stewart,14/12/1998,"[101,104,105]",3.2
69,Quinn,Reed,17/4/1997,"[102,103]",3.9
70,Rachel,Young,20/9/1999,"[101,104]",3.1
71,Samuel,Moore,29/1/1997,"[102,104,105]",3.7
72,Taylor,Fisher,11/5/1998,"[101,103]",3.5
73,Uriel,Long,5/2/1997,"[104,105]",3.2
74,Victoria,Gonzalez,19/7/1998,"[101,102,103]",3.9
75,William,Evans,22/12/1997,[105],3.1
76,Xavier,Reed,7/4/1999,"[101,104,105]",3.7
77,Yasmine,Young,30/9/1997,"[102,103]",3.4
78,Zachary,Howard,23/6/1998,"[101,105]",3.6
79,Ava,Gonzalez,28/3/1997,"[102,104]",3.8
80,Benjamin,Ward,16/8/1999,[105],3.2
81,Chloe,Butler,9/11/1997,"[101,103]",3.9
82,Daniel,Martin,22/1/1998,"[102,104,105]",3.1
83,Emma,Adams,14/4/1997,"[101,104]",3.7
84,Felix,Parker,27/9/1999,"[102,103]",3.5
85,Grace,Howard,30/7/1997,"[101,105]",3.2
86,Henry,Gonzalez,3/12/1998,"[102,104]",3.9
87,Isabella,Bell,16/5/1997,"[101,103,105]",3.1
88,James,Stewart,1/10/1999,"[104,105]",3.7
89,Katherine,Lopez,19/3/1997,"[101,102]",3.4
90,Liam,Hall,22/8/1998,"[104,105]",3.6
91,Mia,Ward,25/1/1997,"[101,103]",3.8
92,Nathan,Perez,27/6/1999,"[102,104]",3.2
93,Olivia,Baker,23/10/1997,"[101,105]",3.9
94,Peter,Young,9/2/1998,"[102,103]",3.1
95,Quinn,Ward,7/5/1997,"[101,104,105]",3.7
96,Rachel,Brooks,14/10/1999,"[102,103]",3.5
97,Samuel,Moore,9/4/1997,"[101,104]",3.2
98,Taylor,Perez,31/7/1998,[105],3.9
99,Uriel,Cook,3/3/1997,"[101,103,104]",3.1
100,Victoria,Fisher,9/6/1999,"[102,105]",3.7
